OBJECTID,מקום,הערות,תאריך,שעות שהייה,סוג מיקום,x,y
5544,בריאות כללית מרפאת אופקים ב',כולל בית מרקחת,8/3/2020,09:00-10:45,,34.62063000000006,31.318298000000027
5324,ארוחת בוקר במלון דן פנורמה בתל אביב,,8/3/2020,09:30-10:30,מיקום חולה,34.763180000000034,32.06474000000003
5377,"סניף ""כרמים"", קופת חולים כללית, ראשון לציון",,8/3/2020,10:50-11:30,מיקום חולה,34.779540000000054,31.975400000000036
5376,"אושר עד, מערב ראשון לציון",,8/3/2020,12:00-15:00,מיקום חולה,34.76127457700005,31.99138141700007
5370,סניף הבנק הבינלאומי ברחוב כנפי נשרים ירושלים,,8/3/2020,12:00-12:10,מיקום חולה,35.19267000000008,31.787810000000036
5554,שופרסל – אזור תעשייה סגולה,,8/3/2020,12:00-13:00,מיקום חולה,34.89283256600004,32.10686655300003
5635,"סופרמרקט ""מגה בעיר"", רחוב הרצל 75 , רמת גן",,8/3/2020,13:00-14:00,מיקום חולה,34.81488858500006,32.08662944800005
5325,שהייה בלובי המלון,,8/3/2020,13:00-14:00,מיקום חולה,34.763180000000034,32.06474000000003
5449,"סינמה סיטי, ראשון לציון",חנות Urbanica,8/3/2020,13:00-13:30,מיקום חולה,34.77164600000003,31.983869000000027
5658,"סופרמרקט ""מגה בעיר"", רחוב הרצל 75 , רמת גן",,8/3/2020,13:00-14:00,מיקום חולה,34.81488858500006,32.08662944800005
5450,"סינמה סיטי, ראשון לציון",בית קפה לנדוור,8/3/2020,13:30-15:00,מיקום חולה,34.77098700000005,31.98359000000005
5295,"המפעל 2, אור יהודה","סופרמרקט ""יוחננוף",8/3/2020,14:00-15:30,מיקום חולה,34.848332964000065,32.03438334200007
5525,"בית קפה ""גן סיפור"" רח' הציונות 7 הוד השרון",,8/3/2020,14:00-16:00,מיקום חולה,34.88598500000006,32.14634900000004
5371,"""באגט שילת"" רחוב דהומיי ירושלים",,8/3/2020,14:10-14:50,מיקום חולה,35.16673000000003,31.75673000000006
5259,סופרמרקט חינם פלוס צומת תנובות ,,8/3/2020,14:30-15:30,מיקום חולה,34.96179530000006,32.312598700000024
5581,"מקווה בית כנסת בית מנחם כפר חב""ד",מקווה,8/3/2020,14:30-15:00,מיקום חולה,34.84984590000005,31.99151990000007
5582,"ית כנסת בית מנחם כפר חב""ד",,8/3/2020,15:00-16:30,מיקום חולה,34.84984590000005,31.99151990000007
5451,"סינמה סיטי, ראשון לציון",חנות ללין,8/3/2020,15:00-15:15,מיקום חולה,34.77096000000006,31.984084000000053
5559,בית אבות בית גיל הזהב בירושלים,ביקור גם בפלאפל שלום ירושלים,8/3/2020,16:00-17:30,מיקום חולה,35.165976027000056,31.772582664000023
5682,"מועדון נוער ""אור ישראלי"" מגדל העמק",,8/3/2020,16:00-20:00,מיקום חולה,35.238785509000024,32.67711977300007
5680,"מועדון נוער ""אור ישראלי"" מגדל העמק",,8/3/2020,16:00-20:00,מיקום חולה,35.238785509000024,32.67711977300007
5546,מרכז הרפואי סורוקה,מרפאת כאב,8/3/2020,17:00-18:00,מיקום חולה,34.80203350000005,31.259105100000056
5520,מועדון הטניס משגב,הפנינג פורים,8/3/2020,17:00-19:00,מיקום חולה,35.25888660000004,32.86011720000005
5487,בית כנסת החושן במודיעין,,8/3/2020,18:00-18:30,מיקום חולה,34.99476000000004,31.903590000000065
5574,"בית קפה איזי קפה, רחוב ארלוזורוב 76, תל אביב",,8/3/2020,18:00-19:00,מיקום חולה,34.77917480000008,32.08580790000008
5622,"בית הכנסת ""אור החיים"" ברחוב רבי עקיבא 134, בני ברק",,8/3/2020,18:00-20:00,מיקום חולה,34.83628422500004,32.08556140200005
5645,"בית הכנסת ""אור החיים"" ברחוב רבי עקיבא 134, בני ברק",,8/3/2020,18:00-20:00,מיקום חולה,34.83628422500004,32.08556140200005
5456,"בית הכנסת המרכזי (בית הארון), רחוב הגפן, אפרת",בת מצווה באולם בית הכנסת,8/3/2020,18:00-20:30,מיקום חולה,35.150602099000025,31.65687311800008
5438,בית עלמין בחולון,לוויה,8/3/2020,18:00-20:00,מיקום חולה,34.753528069000026,31.998782641000048
5296,"רחוב בארט 6, תל אביב",סופר יהודה,8/3/2020,18:00-19:00,מיקום חולה,34.799379000000044,32.11401960000006
5307,"מסעדת מלון ישרוטל ים המלח, עין בוקק",,8/3/2020,18:00-21:00,מיקום חולה,35.36106870000003,31.192988300000025
5372,"עצרת תפילה בבית הכנסת ""זכור לאברהם"" ברחוב קולומביה 7 ירושלים",,8/3/2020,18:00-19:50,מיקום חולה,35.16530000000006,31.75828000000007
5351,"ניחום אבלים משפ' הלל, מושב עלמה",,8/3/2020,18:00-18:45,מיקום חולה,35.499630000000025,33.05186000000003
5694,"הופעה באודיטוריום ""נווה ירושלים"" רחוב בית יצחק 1 ירושלים",,8/3/2020,18:00-23:00,מיקום חולה,35.17594420000006,31.78918680000004
5700,"הופעה באודיטוריום ""נווה ירושלים"" רחוב בית יצחק 1 ירושלים",,8/3/2020,18:00-23:00,מיקום חולה,35.17594420000006,31.78918680000004
5326,ארוחת ערב במלון דן פנורמה בתל אביב,,8/3/2020,18:30-20:00,מיקום חולה,34.763180000000034,32.06474000000003
5547,בית מרקחת של קופת חולים כללית בעומר,,8/3/2020,18:30-19:00,מיקום חולה,35.29025860000007,32.611797300000035
5548,מיראז׳ מוקד רפואה דחופה בדימונה,,8/3/2020,19:00-20:30,מיקום חולה,35.03716670000006,31.067394900000068
5357,"מרפאת ""כללית סמייל"" ברח' יהודה סעדון 120 באור יהודה",,8/3/2020,19:00-19:30,מיקום חולה,34.858010000000036,32.02535000000006
5360,"מרפאת ""כללית סמייל"" ברח' יהודה סעדון 120 באור יהודה",,8/3/2020,19:00-19:30,מיקום חולה,34.858010000000036,32.02535000000006
5260,בית חולים בילינסון ,מעבר דרך חדר מיון לחדר בידוד,8/3/2020,19:00-20:00,מיקום חולה,34.866866800000025,32.089156700000046
5424,"""קולנוע פאר"", רח' ישעיהו 1, תל אביב",חדר כושר,8/3/2020,19:00-20:00,מיקום חולה,34.778684000000055,32.095064000000036
5560,מקס סטוק ישפרו סנטר מודיעין,,8/3/2020,19:30-20:00,מיקום חולה,34.966291600000034,31.88896950000003
5583,"ישיבת חב""ד קריית שמואל",,8/3/2020,19:30-23:59,מיקום חולה,35.06753880000008,32.83049390000008
5561,"מרכז קייזר מודיעין – חנות תחפושות בלגאן, וגלידה גולדה",,8/3/2020,20:00-21:30,מיקום חולה,34.99820690000007,31.90763900000007
5491,רחוב מדריד 1 שדרות,"מסיבת יום האישה באולמי ""שמיים"" בשדרות",8/3/2020,20:00-23:59,מיקום חולה,34.60680000000008,31.521210000000053
5431,נמל תל אביב 19,מכון כושר Fit Hub Croos Namal,8/3/2020,20:00-21:00,מיקום חולה,34.77586100000008,32.09939300000008
5290,"מקסטוק"" נתיבות",,8/3/2020,20:00-20:30,מיקום חולה,34.60065990000004,31.41952580000003
5292,"מתנס חדש, שדרות",חגיגות יום האישה ,8/3/2020,20:00-23:59,מיקום חולה,34.58720690000007,31.529043200000046
5327,אולם נגב במלון דן פנורמה בתל אביב,,8/3/2020,20:00-21:00,מיקום חולה,34.763180000000034,32.06474000000003
5488,בית כנסת החושן במודיעין,,8/3/2020,21:00-21:30,מיקום חולה,34.99476000000004,31.903590000000065
5674,"סופרמרקט ""ויקטורי"", רחוב הארבעה 6 תל אביב",,8/3/2020,21:00-21:45,מיקום חולה,34.78317160000006,32.07035250000007
5452,"בר פופולר, רחוב דיזינגוף 197, תל אביב",,8/3/2020,21:20-23:00,מיקום חולה,34.77475300000003,32.08725100000004
5549,מיון פנימי במרכז רפואי סורוקה,,9/3/2020,23:00-23:59,מיקום חולה,34.80203350000005,31.259105100000056
5550,מיון פנימי במרכז רפואי סורוקה,,9/3/2020,00:00-05:00,מיקום חולה,34.80203350000005,31.259105100000056
5584,"ישיבת חב""ד קריית שמואל",,9/3/2020,00:00-23:59,מיקום חולה,35.06753880000008,32.83049390000008
5390,"מועדון ""זוזו"", שדרות רוטשילד 32, תל אביב",בכל שעות פעילות,9/3/2020,00:00-23:59,מיקום חולה,34.77288600000003,32.06322400000005
5409,"דיור מוגן ""מגדל נופים"" רחוב הנריטה סאלד 2 ירושלים",,9/3/2020,00:00-23:59,מיקום חולה,35.17127000000005,31.762360000000054
5671,"אולמי עדיה, יבנה",מסיבת פורים,9/3/2020,00:00-03:30,מיקום חולה,34.73336390000003,31.891463000000044
5727,"אולמי עדיה, יבנה",מסיבת פורים,9/3/2020,00:00-03:30,מיקום חולה,34.73336390000003,31.891463000000044
5757,"בית הכנסת ""דרכי אבותינו"" רחוב גורדון 1 קריית יערים", ,9/3/2020,18:15-19:15,מיקום חולה,35.103297800000064,31.803590100000065
5751,"בית הכנסת ""דרכי אבותינו"" רחוב גורדון 1 קריית יערים", ,9/3/2020,18:15-19:15,מיקום חולה,35.103297800000064,31.803590100000065
5739,מועדון נוער אור ישראלי, ,9/3/2020,20:30-23:59,מיקום חולה,35.23781354400006,32.68153181300005
5846,"בית הכנסת תפארת נחמן (אולם קטן), רחוב אבן שפרוט 2, בני ברק", ,9/3/2020,18:00-19:30,0,34.832784900000036,32.09021530000007
5841," בית כנסת ספרדי, עזרת נשים,  ענב", ,9/3/2020,17:45-19:30,0,35.12541669500007,32.28456982600005
5831,"בית הכנסת ""מנוחת שלמה"" רחוב קאסוטו 14 בית וגן ירושלים", ,9/3/2020,17:15-17:50,0,35.18775450000004,31.76202100000006
5811,"סופר ""יוחננוף"" ישפרו סנטר, מודיעין", ,9/3/2020,09:00-10:00,0,34.962810500000046,31.889801100000057
5812,"חנות ""פעמית סטור"" ישפרו סנטר, מודיעין", ,9/3/2020,10:15-10:25,0,34.96530720000004,31.890450100000063
5813,"בית הספר אמי""ת בנות, רח' עמק זבולון מודיעין",קריאת מגילה לנשי,9/3/2020,18:30-19:30,0,35.00191750000005,31.90329710000003
5814,"אולם ספורט ""דרכי יהודה"" רח' יהלום 52 מודיעין1", ,9/3/2020,20:30-23:00,0,34.993182800000056,31.90785730000005
5805,"מעון ""ניצנים"", עינב.", ,9/3/2020,07:55-08:05,0,35.126305985000045,32.28492708600004
5787,שיבה מתיבתא מגדל העמק, ,9/3/2020,09:30-13:00,0,35.24174970000007,32.67781140000005
5788,"מועדון נוער ""אור ישראלי"" מגדל העמק",עד יום למחרת,9/3/2020,20:30-02:00,0,35.24174970000007,32.67781140000005
5737,ישיבה מתיבתא מגדל העמק, ,9/3/2020,08:00-15:00,מיקום חולה,35.23156233800006,32.67762958700007
